Category: All categories

Month,dengue cluster: (Singapore)
2012-01,0
2012-02,11
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,9
2013-06,20
2013-07,9
2013-08,11
2013-09,0
2013-10,12
2013-11,11
2013-12,0
2014-01,9
2014-02,0
2014-03,8
2014-04,11
2014-05,6
2014-06,18
2014-07,28
2014-08,20
2014-09,16
2014-10,12
2014-11,8
2014-12,9
2015-01,9
2015-02,9
2015-03,10
2015-04,7
2015-05,12
2015-06,18
2015-07,12
2015-08,11
2015-09,11
2015-10,10
2015-11,9
2015-12,12
2016-01,32
2016-02,26
2016-03,18
2016-04,13
2016-05,14
2016-06,11
2016-07,12
2016-08,20
2016-09,27
2016-10,11
2016-11,9
2016-12,10
2017-01,7
2017-02,8
2017-03,9
2017-04,6
2017-05,8
2017-06,11
2017-07,12
2017-08,5
2017-09,10
2017-10,5
2017-11,0
2017-12,12
2018-01,8
2018-02,0
2018-03,5
2018-04,7
2018-05,21
2018-06,11
2018-07,14
2018-08,7
2018-09,11
2018-10,7
2018-11,11
2018-12,14
2019-01,30
2019-02,29
2019-03,22
2019-04,22
2019-05,28
2019-06,48
2019-07,78
2019-08,70
2019-09,48
2019-10,31
2019-11,39
2019-12,29
2020-01,53
2020-02,51
2020-03,48
2020-04,34
2020-05,46
2020-06,100
2020-07,97
2020-08,75
2020-09,46
2020-10,32
2020-11,21
2020-12,18
2021-01,13
2021-02,14
2021-03,14
2021-04,17
2021-05,13
2021-06,21
2021-07,19
2021-08,10
2021-09,10
2021-10,9
2021-11,6
2021-12,9
2022-01,13
2022-02,7
2022-03,25
2022-04,50
2022-05,75
2022-06,91
2022-07,64
2022-08,44
2022-09,30
2022-10,28
2022-11,17
2022-12,22
