Category: All categories,
,
Month,Dengue fever: (Singapore)
2012-01,9
2012-02,10
2012-03,9
2012-04,10
2012-05,10
2012-06,12
2012-07,14
2012-08,11
2012-09,11
2012-10,12
2012-11,10
2012-12,10
2013-01,15
2013-02,21
2013-03,18
2013-04,49
2013-05,51
2013-06,100
2013-07,46
2013-08,29
2013-09,26
2013-10,34
2013-11,32
2013-12,24
2014-01,25
2014-02,23
2014-03,19
2014-04,19
2014-05,19
2014-06,28
2014-07,45
2014-08,33
2014-09,22
2014-10,19
2014-11,16
2014-12,15
2015-01,16
2015-02,13
2015-03,13
2015-04,15
2015-05,16
2015-06,17
2015-07,19
2015-08,15
2015-09,17
2015-10,17
2015-11,17
2015-12,21
2016-01,41
2016-02,41
2016-03,27
2016-04,21
2016-05,20
2016-06,20
2016-07,22
2016-08,22
2016-09,25
2016-10,15
2016-11,12
2016-12,10
2017-01,11
2017-02,11
2017-03,11
2017-04,11
2017-05,12
2017-06,11
2017-07,13
2017-08,10
2017-09,10
2017-10,11
2017-11,10
2017-12,10
2018-01,11
2018-02,9
2018-03,9
2018-04,8
2018-05,19
2018-06,11
2018-07,12
2018-08,9
2018-09,10
2018-10,9
2018-11,12
2018-12,14
2019-01,17
2019-02,19
2019-03,14
2019-04,16
2019-05,21
2019-06,35
2019-07,46
2019-08,41
2019-09,28
2019-10,22
2019-11,26
2019-12,21
2020-01,26
2020-02,36
2020-03,28
2020-04,21
2020-05,28
2020-06,62
2020-07,77
2020-08,60
2020-09,34
2020-10,23
2020-11,15
2020-12,12
2021-01,10
2021-02,10
2021-03,11
2021-04,9
2021-05,9
2021-06,11
2021-07,10
2021-08,9
2021-09,9
2021-10,9
2021-11,7
2021-12,5
2022-01,9
2022-02,10
2022-03,16
2022-04,31
2022-05,48
2022-06,60
2022-07,48
2022-08,34
2022-09,26
2022-10,22
2022-11,15
2022-12,16
