Category: All categories

Month,dengue: (Singapore)
2012-01,9
2012-02,10
2012-03,10
2012-04,11
2012-05,11
2012-06,13
2012-07,15
2012-08,11
2012-09,11
2012-10,13
2012-11,11
2012-12,10
2013-01,15
2013-02,22
2013-03,19
2013-04,50
2013-05,55
2013-06,100
2013-07,48
2013-08,31
2013-09,28
2013-10,37
2013-11,34
2013-12,26
2014-01,27
2014-02,24
2014-03,19
2014-04,21
2014-05,22
2014-06,29
2014-07,47
2014-08,35
2014-09,23
2014-10,20
2014-11,16
2014-12,16
2015-01,16
2015-02,13
2015-03,14
2015-04,15
2015-05,18
2015-06,18
2015-07,21
2015-08,15
2015-09,17
2015-10,17
2015-11,17
2015-12,23
2016-01,44
2016-02,44
2016-03,29
2016-04,23
2016-05,21
2016-06,20
2016-07,23
2016-08,24
2016-09,26
2016-10,16
2016-11,12
2016-12,9
2017-01,11
2017-02,10
2017-03,11
2017-04,11
2017-05,13
2017-06,11
2017-07,13
2017-08,11
2017-09,10
2017-10,12
2017-11,11
2017-12,11
2018-01,12
2018-02,10
2018-03,10
2018-04,9
2018-05,20
2018-06,11
2018-07,13
2018-08,10
2018-09,11
2018-10,10
2018-11,12
2018-12,15
2019-01,18
2019-02,20
2019-03,14
2019-04,16
2019-05,21
2019-06,37
2019-07,48
2019-08,42
2019-09,30
2019-10,23
2019-11,29
2019-12,21
2020-01,28
2020-02,37
2020-03,30
2020-04,22
2020-05,30
2020-06,70
2020-07,78
2020-08,69
2020-09,37
2020-10,26
2020-11,16
2020-12,13
2021-01,11
2021-02,10
2021-03,11
2021-04,10
2021-05,10
2021-06,12
2021-07,11
2021-08,10
2021-09,10
2021-10,10
2021-11,8
2021-12,6
2022-01,9
2022-02,10
2022-03,17
2022-04,33
2022-05,53
2022-06,61
2022-07,50
2022-08,36
2022-09,28
2022-10,24
2022-11,16
2022-12,17
