month,mean_temp,rainfall,dengue_cases
2012-01-01,26.7,106.1,338
2012-02-01,27.2,83.6,258
2012-03-01,27.0,313.4,231
2012-04-01,27.6,260.6,363
2012-05-01,28.2,292.0,338
2012-06-01,28.7,53.0,468
2012-07-01,27.7,130.8,601
2012-08-01,27.9,119.0,436
2012-09-01,27.9,107.6,322
2012-10-01,27.7,122.2,520
2012-11-01,27.1,208.2,368
2012-12-01,26.7,363.4,389
2013-01-01,27.1,262.0,825
2013-02-01,26.5,395.2,1158
2013-03-01,28.3,85.8,1137
2013-04-01,28.2,159.4,2261
2013-05-01,28.2,211.4,2356
2013-06-01,29.0,111.4,3211
2013-07-01,27.8,174.6,2721
2013-08-01,27.9,165.6,1264
2013-09-01,27.5,257.0,1959
2013-10-01,27.7,285.4,1748
2013-11-01,27.1,292.4,1669
2013-12-01,26.5,348.2,1885
2014-01-01,26.2,75.4,1653
2014-02-01,27.2,0.2,1071
2014-03-01,27.9,66.0,1057
2014-04-01,28.2,110.0,1002
2014-05-01,28.6,125.8,1231
2014-06-01,29.0,71.4,2643
2014-07-01,28.7,148.6,3090
2014-08-01,27.7,241.0,1885
2014-09-01,28.5,83.6,1810
2014-10-01,28.4,120.0,1127
2014-11-01,27.5,250.8,662
2014-12-01,27.0,245.6,937
2015-01-01,26.9,79.6,1139
2015-02-01,27.0,18.8,657
2015-03-01,28.2,84.4,612
2015-04-01,28.6,73.2,477
2015-05-01,28.7,89.0,582
2015-06-01,29.0,95.8,1034
2015-07-01,29.1,116.8,1078
2015-08-01,28.4,185.8,1168
2015-09-01,28.7,61.6,991
2015-10-01,28.7,87.2,940
2015-11-01,28.0,72.6,1263
2015-12-01,27.7,302.3,1520
2016-01-01,28.3,126.6,2443
2016-02-01,27.8,186.0,2467
2016-03-01,29.0,6.2,1456
2016-04-01,29.4,89.8,992
2016-05-01,29.3,193.8,1028
2016-06-01,28.5,162.8,802
2016-07-01,28.4,168.6,958
2016-08-01,28.9,139.2,1216
2016-09-01,28.3,118.9,727
2016-10-01,28.3,181.0,497
2016-11-01,27.4,290.2,317
2016-12-01,27.4,292.6,276
2017-01-01,26.9,197.6,364
2017-02-01,26.9,158.4,225
2017-03-01,27.4,136.2,149
2017-04-01,27.8,208.6,157
2017-05-01,28.5,190.0,256
2017-06-01,28.5,106.0,290
2017-07-01,28.3,79.6,294
2017-08-01,28.1,84.2,194
2017-09-01,28.0,124.4,191
2017-10-01,27.9,120.8,309
2017-11-01,27.1,268.6,156
2017-12-01,27.0,371.2,191
2018-01-01,26.1,287.0,298
2018-02-01,27.2,14.8,168
2018-03-01,28.0,44.6,136
2018-04-01,28.5,61.2,265
2018-05-01,28.7,132.2,245
2018-06-01,28.4,182.6,267
2018-07-01,28.5,143.2,250
2018-08-01,28.5,121.6,245
2018-09-01,28.0,144.4,228
2018-10-01,27.9,234.4,317
2018-11-01,27.3,169.6,355
2018-12-01,27.6,172.6,511
2019-01-01,28.0,63.6,889
2019-02-01,28.2,31.6,737
2019-03-01,28.7,72.2,497
2019-04-01,28.6,174.8,625
2019-05-01,29.3,69.0,1168
2019-06-01,28.4,173.8,1701
2019-07-01,29.0,12.2,3004
2019-08-01,29.1,11.8,2120
2019-09-01,29.0,22.8,1620
2019-10-01,28.1,176.8,954
2019-11-01,28.0,137.4,1334
2019-12-01,26.7,421.5,1349
2020-01-01,27.7,88.4,1359
2020-02-01,27.9,65.0,1531
2020-03-01,28.6,108.8,1883
2020-04-01,28.9,188.0,1418
2020-05-01,28.9,255.6,2042
2020-06-01,28.1,233.8,5584
2020-07-01,27.9,140.8,6636
2020-08-01,28.3,103.4,6825
2020-09-01,27.5,150.2,2925
2020-10-01,28.3,78.8,2291
2020-11-01,27.2,220.6,1740
2020-12-01,27.2,253.2,887
2021-01-01,26.0,692.8,841
2021-02-01,27.3,1.0,578
2021-03-01,27.9,182.4,647
2021-04-01,28.2,290.4,427
2021-05-01,28.7,245.8,576
2021-06-01,28.5,93.4,511
2021-07-01,28.6,195.8,341
2021-08-01,27.6,293.6,306
2021-09-01,28.3,205.4,350
2021-10-01,28.5,177.0,340
2021-11-01,27.6,312.4,268
2021-12-01,27.7,119.6,273
2022-01-01,27.4,99.8,757
2022-02-01,27.3,175.0,839
2022-03-01,28.1,163.2,1741
2022-04-01,28.1,239.6,3322
2022-05-01,29.2,102.0,6458
2022-06-01,27.9,211.8,5073
2022-07-01,28.6,145.2,4210
2022-08-01,28.1,141.4,3697
2022-09-01,27.9,121.0,2012
2022-10-01,27.6,279.0,1778
2022-11-01,27.4,313.8,1116
2022-12-01,26.8,215.4,1172
